influencedBy,economist
Alfred_Marshall,John_Maynard_Keynes
Alvin_Hansen,Robert_Solow
Alvin_Hansen,Paul_Samuelson
Alvin_Hansen,James_Tobin
Alvin_Hansen,John_Hicks
Amartya_Sen,Robin_Hahnel
Amartya_Sen,Ha-Joon_Chang
Duncan_Black,Gordon_Tullock
Edmond_Malinvaud,Jacques_Drèze
Erik_Lindahl,Duncan_K._Foley
Erik_Lindahl,John_Hicks
Ester_Boserup,Amartya_Sen
Eugen_von_Böhm-Bawerk,Joseph_Schumpeter
Eugen_von_Böhm-Bawerk,Ludwig_von_Mises
Eugen_von_Böhm-Bawerk,Henryk_Grossman
Eugen_von_Böhm-Bawerk,Knut_Wicksell
F._A._Harper,Christopher_Coyne
F._A._Harper,Murray_Rothbard
F._A._Harper,Walter_Block
Nicholas_Johannsen,John_Maynard_Keynes
Nicholas_Kaldor,Daniele_Archibugi
Nicholas_Kaldor,Ha-Joon_Chang
Nicholas_Kaldor,Joan_Robinson
Nikolai_Kondratiev,Joseph_Schumpeter
Nikolai_Kondratiev,Christopher_Freeman
Nikolai_Kondratiev,François_Simiand
Nikolai_Kondratiev,Immanuel_Wallerstein
Oskar_R._Lange,Robin_Hahnel
Oskar_R._Lange,Abba_P._Lerner
Oskar_R._Lange,Don_Patinkin
Gustav_von_Schmoller,Joseph_Schumpeter
Gustav_von_Schmoller,Thorstein_Veblen
Gustave_de_Molinari,Murray_Rothbard
Gérard_Debreu,Jacques_Drèze
Hans-Hermann_Hoppe,Jörg_Guido_Hülsmann
Hans_Sennholz,Ron_Paul
Hans_Sennholz,Peter_Boettke
Harry_Gunnison_Brown,James_M._Buchanan
Harvey_J._Levin,Thomas_Hazlett
Henry_Calvert_Simons,Hyman_Minsky
Henry_Calvert_Simons,George_Stigler
Henry_Calvert_Simons,Gordon_Tullock
Henry_Calvert_Simons,Milton_Friedman
Henry_Hazlitt,Ron_Paul
Henry_Hazlitt,Paul_Samuelson
Henry_Hazlitt,George_Reisman
Henry_Hazlitt,Murray_Rothbard
Henry_Hazlitt,Thomas_Sowell
Henry_Hazlitt,Hans-Hermann_Hoppe
Henry_Hazlitt,Milton_Friedman
Hirofumi_Uzawa,Joseph_Stiglitz
Hirofumi_Uzawa,Katsuhito_Iwai
Irving_Fisher,Hyman_Minsky
Irving_Fisher,Maurice_Allais
Irving_Fisher,Franco_Modigliani
Irving_Fisher,Steve_Keen
Irving_Fisher,James_Tobin
Irving_Fisher,Milton_Friedman
Irving_Fisher,Robert_Shiller
