economist,influencedBy
Peter_Boettke,Murray_Rothbard
Peter_Boettke,Ludwig_von_Mises
Peter_Boettke,Hans_Sennholz
Peter_Boettke,Israel_Kirzner
Peter_Boettke,James_M._Buchanan
Peter_Boettke,Jean-Baptiste_Say
Peter_Boettke,Kenneth_E._Boulding
Peter_Bofinger,John_Maynard_Keynes
Peter_Bofinger,Karl_Schiller
Peter_Bofinger,Wolfgang_Stützel
Peter_Leeson,Gary_Becker
Peter_Leeson,George_Stigler
Peter_Leeson,Gordon_Tullock
Peter_Leeson,Ludwig_von_Mises
Peter_Reinhard_Hansen,Halbert_White
Peter_Reinhard_Hansen,James_D._Hamilton
Peter_Reinhard_Hansen,Soren_Johansen
Peter_Reinhard_Hansen,Robert_Engle
Ricardo_Reis,N._Gregory_Mankiw
Richard_D._Wolff,Rosa_Luxemburg
Richard_D._Wolff,Paul_A._Baran
Richard_D._Wolff,Paul_Sweezy
Richard_D._Wolff,Vladimir_Lenin
Richard_D._Wolff,Friedrich_Engels
Richard_D._Wolff,Antonio_Gramsci
Richard_D._Wolff,Louis_Althusser
Richard_D._Wolff,Étienne_Balibar
Richard_D._Wolff,Eduard_Bernstein
Richard_D._Wolff,Karl_Marx
Richard_D._Wolff,George_Lukács
Richard_Kahn,Gerald_Shove
Richard_Kahn,John_Maynard_Keynes
Richard_Ritter_von_Strigl,Friedrich_von_Wieser
Richard_Ritter_von_Strigl,Ludwig_von_Mises
Richard_Ritter_von_Strigl,Joseph_Schumpeter
Richard_Ritter_von_Strigl,Eugen_von_Böhm-Bawerk
Richard_Ritter_von_Strigl,Léon_Walras
Richard_Roll,Merton_Miller
Richard_Stone,Colin_Clark
Richard_Stone,James_Meade
Richard_Timberlake,Earl_J._Hamilton
Richard_Timberlake,Friedrich_Hayek
Richard_Timberlake,Milton_Friedman
Richard_Tol,Pier_Vellinga
Rick_Kuhn,Karl_Marx
Robert_Basmann,Gerhard_Tintner
Robert_Eisner,John_Maynard_Keynes
Robert_F._Engle,David_Hendry
Robert_Higgs,Ronald_Coase
Robert_Higgs,Joseph_Schumpeter
Robert_Higgs,Murray_Rothbard
Robert_Higgs,Ludwig_von_Mises
Robert_Higgs,Simon_Kuznets
Robert_Higgs,Friedrich_Hayek
Robert_Higgs,Douglass_North
Robert_J._Shiller,George_Akerlof
Robert_J._Shiller,Irving_Fisher
Robert_J._Shiller,John_Maynard_Keynes
Ugo_Pagano,Thorstein_Veblen
Ugo_Pagano,Léon_Walras
Ugo_Pagano,Charles_Darwin
Ugo_Pagano,Karl_Marx
Vera_Anstey,John_Maynard_Keynes
Vernon_L._Smith,Friedrich_Hayek
Victor_Polterovich,Aron_Katsenelinboigen
