influencedBy,economist
Clive_Granger,Mark_Watson
Clive_Granger,Christopher_Sims
Edward_J._Zajac,James_D._Westphal
Edwin_Kuh,George_de_Menil
Edwin_Kuh,Phoebus_Dhrymes
Edwin_W._Kemmerer,Frederick_Albert_Cleveland
Edwin_W._Kemmerer,Frank_Whitson_Fetter
Emmanuel_Saez,Thomas_Piketty
Franco_Modigliani,William_A._Barnett
Franco_Modigliani,Jacques_Drèze
Franco_Modigliani,Robert_Shiller
Frank_Fetter,Ludwig_von_Mises
Frank_Fetter,Friedrich_Hayek
Frank_Knight,Ronald_Coase
Frank_Knight,David_Rockefeller
Frank_Knight,George_Stigler
Frank_Knight,Steven_N._S._Cheung
Frank_Knight,Henry_Calvert_Simons
Frank_Knight,James_M._Buchanan
Frank_Knight,Charles_E._Lindblom
Frank_Knight,Milton_Friedman
Franz_Hermann_Schulze-Delitzsch,Luigi_Luzzatti
Franz_Hermann_Schulze-Delitzsch,Frantiek_Ladislav_Chleborád
Franz_Hermann_Schulze-Delitzsch,Eduard_Pfeiffer
Franz_Hermann_Schulze-Delitzsch,Victor_Aimé_Huber
Franz_Oppenheimer,Frank_Chodorov
Franz_Oppenheimer,Murray_Rothbard
Franz_Oppenheimer,Ludwig_Erhard
Franz_Oppenheimer,Albert_Jay_Nock
Friedrich_Hayek,Ronald_Coase
Friedrich_Hayek,David_D._Friedman
Friedrich_Hayek,Richard_Timberlake
Friedrich_Hayek,Vernon_L._Smith
Friedrich_Hayek,Elinor_Ostrom
Friedrich_Hayek,George_Selgin
Friedrich_Hayek,George_Stigler
Friedrich_Hayek,Murray_Rothbard
Friedrich_Hayek,Thomas_Sowell
Friedrich_Hayek,Leland_B._Yeager
Friedrich_Hayek,Ludwig_Erhard
Friedrich_Hayek,Walter_E._Williams
Friedrich_Hayek,Abba_P._Lerner
Friedrich_Hayek,Ha-Joon_Chang
Friedrich_Hayek,Henry_Hazlitt
Friedrich_Hayek,Arthur_Laffer
Friedrich_Hayek,Atilla_Yayla
Friedrich_Hayek,John_Hicks
