influencedBy,economist
Thorstein_Veblen,Henry_A._Wallace
Thorstein_Veblen,John_Kenneth_Galbraith
Thorstein_Veblen,Shimshon_Bichler
John_R._Commons,Oliver_E._Williamson
Ludwig_von_Mises,Friedrich_Hayek
Ludwig_von_Mises,Murray_Rothbard
Ludwig_von_Mises,Walter_Block
Ludwig_von_Mises,Alfred_Schütz
Ludwig_von_Mises,Hans-Hermann_Hoppe
Ludwig_von_Mises,Henry_Hazlitt
Ludwig_von_Mises,Joseph_Salerno
Ludwig_von_Mises,Jesus_Huerta_de_Soto
Luigi_Amoroso,Joan_Robinson
Léon_Walras,Joseph_Schumpeter
Léon_Walras,Vilfredo_Pareto
Léon_Walras,Maurice_Allais
Léon_Walras,Leonid_Hurwicz
Léon_Walras,Axel_Leijonhufvud
Léon_Walras,Alfred_Marshall
Léon_Walras,Oskar_R._Lange
Léon_Walras,Gustav_Cassel
Léon_Walras,Gérard_Debreu
Léon_Walras,Henry_Ludwell_Moore
Léon_Walras,Kenneth_Arrow
Léon_Walras,Knut_Wicksell
Silvio_Gesell,John_Maynard_Keynes
Silvio_Gesell,C._H._Douglas
Maurice_Dobb,Amartya_Sen
Maurice_Dobb,Duncan_K._Foley
C._H._Douglas,Alfred_Richard_Orage
C._H._Douglas,Ezra_Pound
C._H._Douglas,John_Maynard_Keynes
William_Baumol,James_Tobin
William_Phillips,Paul_Samuelson
William_Phillips,Edmund_Phelps
Aaron_Director,Ronald_Coase
Aaron_Director,Milton_Friedman
Alfred_Marshall,Gary_Becker
Alfred_Marshall,Arthur_Cecil_Pigou
Alfred_Marshall,John_Maynard_Keynes
Alvin_Hansen,Paul_Samuelson
Alvin_Hansen,James_Tobin
Amartya_Sen,Ben_Fine
Amartya_Sen,Prasanta_Pattanaik
Amartya_Sen,Robin_Hahnel
Amartya_Sen,Nancy_Folbre
Amartya_Sen,Mahbub_ul_Haq
Amartya_Sen,Tony_Atkinson
Amartya_Sen,Esther_Duflo
Amartya_Sen,Ha-Joon_Chang
Amartya_Sen,Jean_Drèze
Amartya_Sen,Kaushik_Basu
Amartya_Sen,Marc_Fleurbaey
Amartya_Sen,Martha_Nussbaum
Amartya_Sen,Philip_Pettit
Amartya_Sen,Kotaro_Suzumura
Edmond_Malinvaud,Jacques_Drèze
Edmund_Phelps,Mordecai_Kurz
Edmund_Phelps,Gylfi_Zoega
Edmund_Phelps,Roman_Frydman
Edmund_Phelps,Hian_Teck_Hoon
Edmund_Phelps,Eric_Bartelsman
Erik_Lindahl,Duncan_K._Foley
Ester_Boserup,Amartya_Sen
Eugen_von_Böhm-Bawerk,Joseph_Schumpeter
Eugen_von_Böhm-Bawerk,Ludwig_von_Mises
Eugen_von_Böhm-Bawerk,Henryk_Grossman
Eugen_von_Böhm-Bawerk,Knut_Wicksell
F._A._Harper,Murray_Rothbard
F._A._Harper,Walter_Block
Fernando_Vianello,Annamaria_Simonazzi
Fernando_Vianello,Giovanni_Bonifati
Fernando_Vianello,Paolo_Trabucchi
Fernando_Vianello,Antonella_Palumbo
Nicholas_Johannsen,John_Maynard_Keynes
Nicholas_Kaldor,Anthony_Thirlwall
Nicholas_Kaldor,Daniele_Archibugi
Nicholas_Kaldor,Ha-Joon_Chang
Nicholas_Kaldor,Joan_Robinson
Nicholas_Kaldor,Manmohan_Singh
Nikolai_Kondratiev,Joseph_Schumpeter
Nikolai_Kondratiev,Christopher_Freeman
Oskar_R._Lange,Robin_Hahnel
Gustav_von_Schmoller,Joseph_Schumpeter
Gustav_von_Schmoller,Thorstein_Veblen
Gustave_de_Molinari,Murray_Rothbard
Gérard_Debreu,Jacques_Drèze
Hans-Hermann_Hoppe,Frank_Van_Dun
Hans-Hermann_Hoppe,Thomas_Woods
Hans-Hermann_Hoppe,Stephan_Kinsella
Hans-Hermann_Hoppe,Curtis_Yarvin
Hans-Hermann_Hoppe,Nick_Land
Hans-Hermann_Hoppe,Jörg_Guido_Hülsmann
Hans_Sennholz,Peter_Boettke
Harry_Gunnison_Brown,James_M._Buchanan
Henry_Calvert_Simons,Hyman_Minsky
Henry_Calvert_Simons,George_Stigler
Henry_Calvert_Simons,Milton_Friedman
Henry_Hazlitt,Ron_Paul
Henry_Hazlitt,Gene_Callahan
Henry_Hazlitt,Paul_Samuelson
Henry_Hazlitt,Peter_Schiff
Henry_Hazlitt,George_Reisman
Henry_Hazlitt,Murray_Rothbard
Henry_Hazlitt,Thomas_Sowell
Henry_Hazlitt,Lew_Rockwell
Henry_Hazlitt,Steve_Forbes
Henry_Hazlitt,Walter_E._Williams
Henry_Hazlitt,Hans-Hermann_Hoppe
Henry_Hazlitt,Mark_Spitznagel
Henry_Hazlitt,Milton_Friedman
Henry_Hazlitt,Rand_Paul
Hirofumi_Uzawa,David_Cass
Hirofumi_Uzawa,Joseph_Stiglitz
Hirofumi_Uzawa,Nobuhiro_Kiyotaki
Hirofumi_Uzawa,Hiroshi_Yoshikawa
Hirofumi_Uzawa,Katsuhito_Iwai
Hirofumi_Uzawa,George_Akerlof
Hirofumi_Uzawa,Hitoshi_Matsushima
Irving_Fisher,Scott_Sumner
Irving_Fisher,Ben_Bernanke
Irving_Fisher,Hyman_Minsky
Irving_Fisher,Maurice_Allais
Irving_Fisher,Franco_Modigliani
Irving_Fisher,Steve_Keen
Irving_Fisher,James_Tobin
Irving_Fisher,Milton_Friedman
Irving_Fisher,Robert_Shiller
Jacob_Mincer,Gary_Becker
Jacques_Drèze,Roger_J-B_Wets
James_Duesenberry,Kenneth_Arrow
Jean-Baptiste_Say,Frédéric_Bastiat
Jean_de_Sismondi,Benjamin_Constant
Jean_de_Sismondi,Charles_Dunoyer
Jean_de_Sismondi,Thomas_Robert_Malthus
Jean_de_Sismondi,Karl_Marx
Arnold_Plant,Ronald_Coase
